Enter Input Clock in MHZ
Enable boundary check? (y/n)
P	M	N	CLK
4 	 25 	 301 	 75.25 MHZ
4 	 25 	 302 	 75.5 MHZ
4 	 25 	 303 	 75.75 MHZ
4 	 25 	 304 	 76.0 MHZ
4 	 25 	 305 	 76.25 MHZ
4 	 25 	 306 	 76.5 MHZ
4 	 25 	 307 	 76.75 MHZ
4 	 25 	 308 	 77.0 MHZ
4 	 25 	 309 	 77.25 MHZ
4 	 25 	 310 	 77.5 MHZ
4 	 25 	 311 	 77.75 MHZ
4 	 25 	 312 	 78.0 MHZ
4 	 25 	 313 	 78.25 MHZ
4 	 25 	 314 	 78.5 MHZ
4 	 25 	 315 	 78.75 MHZ
4 	 25 	 316 	 79.0 MHZ
4 	 25 	 317 	 79.25 MHZ
4 	 25 	 318 	 79.5 MHZ
4 	 25 	 319 	 79.75 MHZ
4 	 25 	 320 	 80.0 MHZ
4 	 25 	 321 	 80.25 MHZ
4 	 25 	 322 	 80.5 MHZ
4 	 25 	 323 	 80.75 MHZ
4 	 25 	 324 	 81.0 MHZ
4 	 25 	 325 	 81.25 MHZ
4 	 25 	 326 	 81.5 MHZ
4 	 25 	 327 	 81.75 MHZ
4 	 25 	 328 	 82.0 MHZ
4 	 25 	 329 	 82.25 MHZ
4 	 25 	 330 	 82.5 MHZ
4 	 25 	 331 	 82.75 MHZ
4 	 25 	 332 	 83.0 MHZ
4 	 25 	 333 	 83.25 MHZ
4 	 25 	 334 	 83.5 MHZ
4 	 25 	 335 	 83.75 MHZ
4 	 25 	 336 	 84.0 MHZ
6 	 13 	 192 	 61.53846153846154 MHZ
6 	 13 	 193 	 61.85897435897436 MHZ
6 	 13 	 194 	 62.17948717948718 MHZ
6 	 13 	 195 	 62.5 MHZ
6 	 13 	 196 	 62.82051282051282 MHZ
6 	 13 	 197 	 63.14102564102564 MHZ
6 	 13 	 198 	 63.46153846153846 MHZ
6 	 13 	 199 	 63.78205128205128 MHZ
6 	 13 	 200 	 64.1025641025641 MHZ
6 	 13 	 201 	 64.42307692307692 MHZ
6 	 13 	 202 	 64.74358974358974 MHZ
6 	 13 	 203 	 65.06410256410255 MHZ
6 	 13 	 204 	 65.38461538461539 MHZ
6 	 13 	 205 	 65.7051282051282 MHZ
6 	 13 	 206 	 66.02564102564102 MHZ
6 	 13 	 207 	 66.34615384615385 MHZ
6 	 13 	 208 	 66.66666666666667 MHZ
6 	 13 	 209 	 66.98717948717949 MHZ
6 	 13 	 210 	 67.3076923076923 MHZ
6 	 13 	 211 	 67.62820512820512 MHZ
6 	 13 	 212 	 67.94871794871794 MHZ
6 	 13 	 213 	 68.26923076923077 MHZ
6 	 13 	 214 	 68.58974358974359 MHZ
6 	 13 	 215 	 68.91025641025641 MHZ
6 	 13 	 216 	 69.23076923076923 MHZ
6 	 13 	 217 	 69.55128205128206 MHZ
6 	 13 	 218 	 69.87179487179488 MHZ
6 	 13 	 219 	 70.1923076923077 MHZ
6 	 13 	 220 	 70.51282051282051 MHZ
6 	 13 	 221 	 70.83333333333333 MHZ
6 	 13 	 222 	 71.15384615384615 MHZ
6 	 13 	 223 	 71.47435897435898 MHZ
6 	 13 	 224 	 71.7948717948718 MHZ
6 	 14 	 192 	 57.14285714285714 MHZ
6 	 14 	 193 	 57.4404761904762 MHZ
6 	 14 	 194 	 57.73809523809524 MHZ
6 	 14 	 195 	 58.035714285714285 MHZ
6 	 14 	 196 	 58.333333333333336 MHZ
6 	 14 	 197 	 58.63095238095238 MHZ
6 	 14 	 198 	 58.92857142857142 MHZ
6 	 14 	 199 	 59.226190476190474 MHZ
6 	 14 	 200 	 59.523809523809526 MHZ
6 	 14 	 201 	 59.82142857142858 MHZ
6 	 14 	 202 	 60.11904761904762 MHZ
6 	 14 	 203 	 60.416666666666664 MHZ
6 	 14 	 204 	 60.714285714285715 MHZ
6 	 14 	 205 	 61.01190476190476 MHZ
6 	 14 	 206 	 61.3095238095238 MHZ
6 	 14 	 207 	 61.60714285714286 MHZ
6 	 14 	 208 	 61.904761904761905 MHZ
6 	 14 	 209 	 62.202380952380956 MHZ
6 	 14 	 210 	 62.5 MHZ
6 	 14 	 211 	 62.797619047619044 MHZ
6 	 14 	 212 	 63.095238095238095 MHZ
6 	 14 	 213 	 63.39285714285714 MHZ
6 	 14 	 214 	 63.6904761904762 MHZ
6 	 14 	 215 	 63.98809523809524 MHZ
6 	 14 	 216 	 64.28571428571429 MHZ
6 	 14 	 217 	 64.58333333333333 MHZ
6 	 14 	 218 	 64.88095238095238 MHZ
6 	 14 	 219 	 65.17857142857143 MHZ
6 	 14 	 220 	 65.47619047619047 MHZ
6 	 14 	 221 	 65.77380952380953 MHZ
6 	 14 	 222 	 66.07142857142857 MHZ
6 	 14 	 223 	 66.36904761904762 MHZ
6 	 14 	 224 	 66.66666666666667 MHZ
6 	 14 	 225 	 66.96428571428571 MHZ
6 	 14 	 226 	 67.26190476190476 MHZ
6 	 14 	 227 	 67.55952380952381 MHZ
6 	 14 	 228 	 67.85714285714286 MHZ
6 	 14 	 229 	 68.15476190476191 MHZ
6 	 14 	 230 	 68.45238095238095 MHZ
6 	 14 	 231 	 68.75 MHZ
6 	 14 	 232 	 69.04761904761905 MHZ
6 	 14 	 233 	 69.34523809523809 MHZ
6 	 14 	 234 	 69.64285714285714 MHZ
6 	 14 	 235 	 69.94047619047619 MHZ
6 	 14 	 236 	 70.23809523809524 MHZ
6 	 14 	 237 	 70.53571428571429 MHZ
6 	 14 	 238 	 70.83333333333333 MHZ
6 	 14 	 239 	 71.13095238095238 MHZ
6 	 14 	 240 	 71.42857142857143 MHZ
6 	 14 	 241 	 71.72619047619047 MHZ
6 	 15 	 192 	 53.333333333333336 MHZ
6 	 15 	 193 	 53.611111111111114 MHZ
6 	 15 	 194 	 53.888888888888886 MHZ
6 	 15 	 195 	 54.166666666666664 MHZ
6 	 15 	 196 	 54.44444444444445 MHZ
6 	 15 	 197 	 54.72222222222222 MHZ
6 	 15 	 198 	 55.0 MHZ
6 	 15 	 199 	 55.27777777777778 MHZ
6 	 15 	 200 	 55.55555555555555 MHZ
6 	 15 	 201 	 55.833333333333336 MHZ
6 	 15 	 202 	 56.111111111111114 MHZ
6 	 15 	 203 	 56.388888888888886 MHZ
6 	 15 	 204 	 56.666666666666664 MHZ
6 	 15 	 205 	 56.94444444444445 MHZ
6 	 15 	 206 	 57.22222222222222 MHZ
6 	 15 	 207 	 57.5 MHZ
6 	 15 	 208 	 57.77777777777778 MHZ
6 	 15 	 209 	 58.05555555555555 MHZ
6 	 15 	 210 	 58.333333333333336 MHZ
6 	 15 	 211 	 58.611111111111114 MHZ
6 	 15 	 212 	 58.888888888888886 MHZ
6 	 15 	 213 	 59.166666666666664 MHZ
6 	 15 	 214 	 59.44444444444445 MHZ
6 	 15 	 215 	 59.72222222222222 MHZ
6 	 15 	 216 	 60.0 MHZ
6 	 15 	 217 	 60.27777777777778 MHZ
6 	 15 	 218 	 60.55555555555555 MHZ
6 	 15 	 219 	 60.833333333333336 MHZ
6 	 15 	 220 	 61.111111111111114 MHZ
6 	 15 	 221 	 61.388888888888886 MHZ
6 	 15 	 222 	 61.666666666666664 MHZ
6 	 15 	 223 	 61.94444444444445 MHZ
6 	 15 	 224 	 62.22222222222222 MHZ
6 	 15 	 225 	 62.5 MHZ
6 	 15 	 226 	 62.77777777777778 MHZ
6 	 15 	 227 	 63.05555555555555 MHZ
6 	 15 	 228 	 63.333333333333336 MHZ
6 	 15 	 229 	 63.611111111111114 MHZ
6 	 15 	 230 	 63.888888888888886 MHZ
6 	 15 	 231 	 64.16666666666667 MHZ
6 	 15 	 232 	 64.44444444444444 MHZ
6 	 15 	 233 	 64.72222222222221 MHZ
6 	 15 	 234 	 65.0 MHZ
6 	 15 	 235 	 65.27777777777779 MHZ
6 	 15 	 236 	 65.55555555555556 MHZ
6 	 15 	 237 	 65.83333333333333 MHZ
6 	 15 	 238 	 66.11111111111111 MHZ
6 	 15 	 239 	 66.38888888888889 MHZ
6 	 15 	 240 	 66.66666666666667 MHZ
6 	 15 	 241 	 66.94444444444444 MHZ
6 	 15 	 242 	 67.22222222222221 MHZ
6 	 15 	 243 	 67.5 MHZ
6 	 15 	 244 	 67.77777777777779 MHZ
6 	 15 	 245 	 68.05555555555556 MHZ
6 	 15 	 246 	 68.33333333333333 MHZ
6 	 15 	 247 	 68.61111111111111 MHZ
6 	 15 	 248 	 68.88888888888889 MHZ
6 	 15 	 249 	 69.16666666666667 MHZ
6 	 15 	 250 	 69.44444444444444 MHZ
6 	 15 	 251 	 69.72222222222221 MHZ
6 	 15 	 252 	 70.0 MHZ
6 	 15 	 253 	 70.27777777777779 MHZ
6 	 15 	 254 	 70.55555555555556 MHZ
6 	 15 	 255 	 70.83333333333333 MHZ
6 	 15 	 256 	 71.11111111111111 MHZ
6 	 15 	 257 	 71.38888888888889 MHZ
6 	 15 	 258 	 71.66666666666667 MHZ
6 	 15 	 259 	 71.94444444444444 MHZ
6 	 16 	 192 	 50.0 MHZ
6 	 16 	 193 	 50.260416666666664 MHZ
6 	 16 	 194 	 50.520833333333336 MHZ
6 	 16 	 195 	 50.78125 MHZ
6 	 16 	 196 	 51.041666666666664 MHZ
6 	 16 	 197 	 51.302083333333336 MHZ
6 	 16 	 198 	 51.5625 MHZ
6 	 16 	 199 	 51.822916666666664 MHZ
6 	 16 	 200 	 52.083333333333336 MHZ
6 	 16 	 201 	 52.34375 MHZ
6 	 16 	 202 	 52.604166666666664 MHZ
6 	 16 	 203 	 52.864583333333336 MHZ
6 	 16 	 204 	 53.125 MHZ
6 	 16 	 205 	 53.385416666666664 MHZ
6 	 16 	 206 	 53.645833333333336 MHZ
6 	 16 	 207 	 53.90625 MHZ
6 	 16 	 208 	 54.166666666666664 MHZ
6 	 16 	 209 	 54.427083333333336 MHZ
6 	 16 	 210 	 54.6875 MHZ
6 	 16 	 211 	 54.947916666666664 MHZ
6 	 16 	 212 	 55.208333333333336 MHZ
6 	 16 	 213 	 55.46875 MHZ
6 	 16 	 214 	 55.729166666666664 MHZ
6 	 16 	 215 	 55.989583333333336 MHZ
6 	 16 	 216 	 56.25 MHZ
6 	 16 	 217 	 56.510416666666664 MHZ
6 	 16 	 218 	 56.770833333333336 MHZ
6 	 16 	 219 	 57.03125 MHZ
6 	 16 	 220 	 57.291666666666664 MHZ
6 	 16 	 221 	 57.552083333333336 MHZ
6 	 16 	 222 	 57.8125 MHZ
6 	 16 	 223 	 58.072916666666664 MHZ
6 	 16 	 224 	 58.333333333333336 MHZ
6 	 16 	 225 	 58.59375 MHZ
6 	 16 	 226 	 58.854166666666664 MHZ
6 	 16 	 227 	 59.114583333333336 MHZ
6 	 16 	 228 	 59.375 MHZ
6 	 16 	 229 	 59.635416666666664 MHZ
6 	 16 	 230 	 59.895833333333336 MHZ
6 	 16 	 231 	 60.15625 MHZ
6 	 16 	 232 	 60.416666666666664 MHZ
6 	 16 	 233 	 60.677083333333336 MHZ
6 	 16 	 234 	 60.9375 MHZ
6 	 16 	 235 	 61.197916666666664 MHZ
6 	 16 	 236 	 61.458333333333336 MHZ
6 	 16 	 237 	 61.71875 MHZ
6 	 16 	 238 	 61.979166666666664 MHZ
6 	 16 	 239 	 62.239583333333336 MHZ
6 	 16 	 240 	 62.5 MHZ
6 	 16 	 241 	 62.760416666666664 MHZ
6 	 16 	 242 	 63.020833333333336 MHZ
6 	 16 	 243 	 63.28125 MHZ
6 	 16 	 244 	 63.541666666666664 MHZ
6 	 16 	 245 	 63.802083333333336 MHZ
6 	 16 	 246 	 64.0625 MHZ
6 	 16 	 247 	 64.32291666666667 MHZ
6 	 16 	 248 	 64.58333333333333 MHZ
6 	 16 	 249 	 64.84375 MHZ
6 	 16 	 250 	 65.10416666666667 MHZ
6 	 16 	 251 	 65.36458333333333 MHZ
6 	 16 	 252 	 65.625 MHZ
6 	 16 	 253 	 65.88541666666667 MHZ
6 	 16 	 254 	 66.14583333333333 MHZ
6 	 16 	 255 	 66.40625 MHZ
6 	 16 	 256 	 66.66666666666667 MHZ
6 	 16 	 257 	 66.92708333333333 MHZ
6 	 16 	 258 	 67.1875 MHZ
6 	 16 	 259 	 67.44791666666667 MHZ
6 	 16 	 260 	 67.70833333333333 MHZ
6 	 16 	 261 	 67.96875 MHZ
6 	 16 	 262 	 68.22916666666667 MHZ
6 	 16 	 263 	 68.48958333333333 MHZ
6 	 16 	 264 	 68.75 MHZ
6 	 16 	 265 	 69.01041666666667 MHZ
6 	 16 	 266 	 69.27083333333333 MHZ
6 	 16 	 267 	 69.53125 MHZ
6 	 16 	 268 	 69.79166666666667 MHZ
6 	 16 	 269 	 70.05208333333333 MHZ
6 	 16 	 270 	 70.3125 MHZ
6 	 16 	 271 	 70.57291666666667 MHZ
6 	 16 	 272 	 70.83333333333333 MHZ
6 	 16 	 273 	 71.09375 MHZ
6 	 16 	 274 	 71.35416666666667 MHZ
6 	 16 	 275 	 71.61458333333333 MHZ
6 	 16 	 276 	 71.875 MHZ
6 	 17 	 192 	 47.05882352941177 MHZ
6 	 17 	 193 	 47.30392156862745 MHZ
6 	 17 	 194 	 47.54901960784314 MHZ
6 	 17 	 195 	 47.79411764705882 MHZ
6 	 17 	 196 	 48.03921568627451 MHZ
6 	 17 	 197 	 48.28431372549019 MHZ
6 	 17 	 198 	 48.529411764705884 MHZ
6 	 17 	 199 	 48.77450980392157 MHZ
6 	 17 	 200 	 49.01960784313726 MHZ
6 	 17 	 201 	 49.264705882352935 MHZ
6 	 17 	 202 	 49.509803921568626 MHZ
6 	 17 	 203 	 49.75490196078431 MHZ
6 	 17 	 204 	 50.0 MHZ
6 	 17 	 205 	 50.24509803921569 MHZ
6 	 17 	 206 	 50.490196078431374 MHZ
6 	 17 	 207 	 50.735294117647065 MHZ
6 	 17 	 208 	 50.98039215686274 MHZ
6 	 17 	 209 	 51.22549019607843 MHZ
6 	 17 	 210 	 51.470588235294116 MHZ
6 	 17 	 211 	 51.71568627450981 MHZ
6 	 17 	 212 	 51.96078431372549 MHZ
6 	 17 	 213 	 52.20588235294118 MHZ
6 	 17 	 214 	 52.45098039215686 MHZ
6 	 17 	 215 	 52.69607843137255 MHZ
6 	 17 	 216 	 52.94117647058823 MHZ
6 	 17 	 217 	 53.18627450980392 MHZ
6 	 17 	 218 	 53.431372549019606 MHZ
6 	 17 	 219 	 53.6764705882353 MHZ
6 	 17 	 220 	 53.921568627450974 MHZ
6 	 17 	 221 	 54.166666666666664 MHZ
6 	 17 	 222 	 54.411764705882355 MHZ
6 	 17 	 223 	 54.65686274509804 MHZ
6 	 17 	 224 	 54.90196078431373 MHZ
6 	 17 	 225 	 55.14705882352941 MHZ
6 	 17 	 226 	 55.392156862745104 MHZ
6 	 17 	 227 	 55.63725490196078 MHZ
6 	 17 	 228 	 55.88235294117647 MHZ
6 	 17 	 229 	 56.127450980392155 MHZ
6 	 17 	 230 	 56.372549019607845 MHZ
6 	 17 	 231 	 56.61764705882353 MHZ
6 	 17 	 232 	 56.86274509803922 MHZ
6 	 17 	 233 	 57.107843137254896 MHZ
6 	 17 	 234 	 57.35294117647059 MHZ
6 	 17 	 235 	 57.59803921568627 MHZ
6 	 17 	 236 	 57.84313725490196 MHZ
6 	 17 	 237 	 58.088235294117645 MHZ
6 	 17 	 238 	 58.333333333333336 MHZ
6 	 17 	 239 	 58.578431372549026 MHZ
6 	 17 	 240 	 58.8235294117647 MHZ
6 	 17 	 241 	 59.068627450980394 MHZ
6 	 17 	 242 	 59.31372549019608 MHZ
6 	 17 	 243 	 59.55882352941177 MHZ
6 	 17 	 244 	 59.80392156862745 MHZ
6 	 17 	 245 	 60.04901960784314 MHZ
6 	 17 	 246 	 60.29411764705882 MHZ
6 	 17 	 247 	 60.53921568627451 MHZ
6 	 17 	 248 	 60.78431372549019 MHZ
6 	 17 	 249 	 61.029411764705884 MHZ
6 	 17 	 250 	 61.27450980392157 MHZ
6 	 17 	 251 	 61.51960784313726 MHZ
6 	 17 	 252 	 61.764705882352935 MHZ
6 	 17 	 253 	 62.009803921568626 MHZ
6 	 17 	 254 	 62.25490196078431 MHZ
6 	 17 	 255 	 62.5 MHZ
6 	 17 	 256 	 62.74509803921569 MHZ
6 	 17 	 257 	 62.990196078431374 MHZ
6 	 17 	 258 	 63.235294117647065 MHZ
6 	 17 	 259 	 63.48039215686274 MHZ
6 	 17 	 260 	 63.72549019607843 MHZ
6 	 17 	 261 	 63.970588235294116 MHZ
6 	 17 	 262 	 64.2156862745098 MHZ
6 	 17 	 263 	 64.46078431372548 MHZ
6 	 17 	 264 	 64.70588235294117 MHZ
6 	 17 	 265 	 64.95098039215686 MHZ
6 	 17 	 266 	 65.19607843137256 MHZ
6 	 17 	 267 	 65.44117647058823 MHZ
6 	 17 	 268 	 65.68627450980392 MHZ
6 	 17 	 269 	 65.9313725490196 MHZ
6 	 17 	 270 	 66.17647058823529 MHZ
6 	 17 	 271 	 66.42156862745098 MHZ
6 	 17 	 272 	 66.66666666666667 MHZ
6 	 17 	 273 	 66.91176470588236 MHZ
6 	 17 	 274 	 67.15686274509804 MHZ
6 	 17 	 275 	 67.40196078431373 MHZ
6 	 17 	 276 	 67.6470588235294 MHZ
6 	 17 	 277 	 67.8921568627451 MHZ
6 	 17 	 278 	 68.13725490196079 MHZ
6 	 17 	 279 	 68.38235294117648 MHZ
6 	 17 	 280 	 68.62745098039215 MHZ
6 	 17 	 281 	 68.87254901960785 MHZ
6 	 17 	 282 	 69.11764705882352 MHZ
6 	 17 	 283 	 69.36274509803921 MHZ
6 	 17 	 284 	 69.6078431372549 MHZ
6 	 17 	 285 	 69.8529411764706 MHZ
6 	 17 	 286 	 70.09803921568627 MHZ
6 	 17 	 287 	 70.34313725490196 MHZ
6 	 17 	 288 	 70.58823529411764 MHZ
6 	 17 	 289 	 70.83333333333333 MHZ
6 	 17 	 290 	 71.07843137254902 MHZ
6 	 17 	 291 	 71.32352941176471 MHZ
6 	 17 	 292 	 71.5686274509804 MHZ
6 	 17 	 293 	 71.81372549019608 MHZ
6 	 18 	 192 	 44.44444444444445 MHZ
6 	 18 	 193 	 44.675925925925924 MHZ
6 	 18 	 194 	 44.90740740740741 MHZ
6 	 18 	 195 	 45.138888888888886 MHZ
6 	 18 	 196 	 45.370370370370374 MHZ
6 	 18 	 197 	 45.60185185185185 MHZ
6 	 18 	 198 	 45.833333333333336 MHZ
6 	 18 	 199 	 46.06481481481482 MHZ
6 	 18 	 200 	 46.2962962962963 MHZ
6 	 18 	 201 	 46.52777777777778 MHZ
6 	 18 	 202 	 46.75925925925926 MHZ
6 	 18 	 203 	 46.99074074074074 MHZ
6 	 18 	 204 	 47.22222222222222 MHZ
6 	 18 	 205 	 47.4537037037037 MHZ
6 	 18 	 206 	 47.68518518518518 MHZ
6 	 18 	 207 	 47.916666666666664 MHZ
6 	 18 	 208 	 48.14814814814815 MHZ
6 	 18 	 209 	 48.379629629629626 MHZ
6 	 18 	 210 	 48.611111111111114 MHZ
6 	 18 	 211 	 48.84259259259259 MHZ
6 	 18 	 212 	 49.074074074074076 MHZ
6 	 18 	 213 	 49.30555555555555 MHZ
6 	 18 	 214 	 49.53703703703704 MHZ
6 	 18 	 215 	 49.76851851851851 MHZ
6 	 18 	 216 	 50.0 MHZ
6 	 18 	 217 	 50.23148148148149 MHZ
6 	 18 	 218 	 50.46296296296296 MHZ
6 	 18 	 219 	 50.69444444444445 MHZ
6 	 18 	 220 	 50.925925925925924 MHZ
6 	 18 	 221 	 51.15740740740741 MHZ
6 	 18 	 222 	 51.388888888888886 MHZ
6 	 18 	 223 	 51.620370370370374 MHZ
6 	 18 	 224 	 51.85185185185185 MHZ
6 	 18 	 225 	 52.083333333333336 MHZ
6 	 18 	 226 	 52.31481481481482 MHZ
6 	 18 	 227 	 52.5462962962963 MHZ
6 	 18 	 228 	 52.77777777777778 MHZ
6 	 18 	 229 	 53.00925925925926 MHZ
6 	 18 	 230 	 53.24074074074074 MHZ
6 	 18 	 231 	 53.47222222222222 MHZ
6 	 18 	 232 	 53.7037037037037 MHZ
6 	 18 	 233 	 53.93518518518518 MHZ
6 	 18 	 234 	 54.166666666666664 MHZ
6 	 18 	 235 	 54.39814814814815 MHZ
6 	 18 	 236 	 54.629629629629626 MHZ
6 	 18 	 237 	 54.861111111111114 MHZ
6 	 18 	 238 	 55.09259259259259 MHZ
6 	 18 	 239 	 55.324074074074076 MHZ
6 	 18 	 240 	 55.55555555555555 MHZ
6 	 18 	 241 	 55.78703703703704 MHZ
6 	 18 	 242 	 56.01851851851851 MHZ
6 	 18 	 243 	 56.25 MHZ
6 	 18 	 244 	 56.48148148148149 MHZ
6 	 18 	 245 	 56.71296296296296 MHZ
6 	 18 	 246 	 56.94444444444445 MHZ
6 	 18 	 247 	 57.175925925925924 MHZ
6 	 18 	 248 	 57.40740740740741 MHZ
6 	 18 	 249 	 57.638888888888886 MHZ
6 	 18 	 250 	 57.870370370370374 MHZ
6 	 18 	 251 	 58.10185185185185 MHZ
6 	 18 	 252 	 58.333333333333336 MHZ
6 	 18 	 253 	 58.56481481481482 MHZ
6 	 18 	 254 	 58.7962962962963 MHZ
6 	 18 	 255 	 59.02777777777778 MHZ
6 	 18 	 256 	 59.25925925925926 MHZ
6 	 18 	 257 	 59.49074074074074 MHZ
6 	 18 	 258 	 59.72222222222222 MHZ
6 	 18 	 259 	 59.9537037037037 MHZ
6 	 18 	 260 	 60.18518518518518 MHZ
6 	 18 	 261 	 60.416666666666664 MHZ
6 	 18 	 262 	 60.64814814814815 MHZ
6 	 18 	 263 	 60.879629629629626 MHZ
6 	 18 	 264 	 61.111111111111114 MHZ
6 	 18 	 265 	 61.34259259259259 MHZ
6 	 18 	 266 	 61.574074074074076 MHZ
6 	 18 	 267 	 61.80555555555555 MHZ
6 	 18 	 268 	 62.03703703703704 MHZ
6 	 18 	 269 	 62.26851851851851 MHZ
6 	 18 	 270 	 62.5 MHZ
6 	 18 	 271 	 62.73148148148149 MHZ
6 	 18 	 272 	 62.96296296296296 MHZ
6 	 18 	 273 	 63.19444444444445 MHZ
6 	 18 	 274 	 63.425925925925924 MHZ
6 	 18 	 275 	 63.65740740740741 MHZ
6 	 18 	 276 	 63.888888888888886 MHZ
6 	 18 	 277 	 64.12037037037037 MHZ
6 	 18 	 278 	 64.35185185185185 MHZ
6 	 18 	 279 	 64.58333333333333 MHZ
6 	 18 	 280 	 64.81481481481482 MHZ
6 	 18 	 281 	 65.04629629629629 MHZ
6 	 18 	 282 	 65.27777777777779 MHZ
6 	 18 	 283 	 65.50925925925925 MHZ
6 	 18 	 284 	 65.74074074074075 MHZ
6 	 18 	 285 	 65.97222222222221 MHZ
6 	 18 	 286 	 66.20370370370371 MHZ
6 	 18 	 287 	 66.43518518518518 MHZ
6 	 18 	 288 	 66.66666666666667 MHZ
6 	 18 	 289 	 66.89814814814815 MHZ
6 	 18 	 290 	 67.12962962962963 MHZ
6 	 18 	 291 	 67.36111111111111 MHZ
6 	 18 	 292 	 67.5925925925926 MHZ
6 	 18 	 293 	 67.82407407407408 MHZ
6 	 18 	 294 	 68.05555555555556 MHZ
6 	 18 	 295 	 68.28703703703704 MHZ
6 	 18 	 296 	 68.51851851851852 MHZ
6 	 18 	 297 	 68.75 MHZ
6 	 18 	 298 	 68.98148148148148 MHZ
6 	 18 	 299 	 69.21296296296296 MHZ
6 	 18 	 300 	 69.44444444444444 MHZ
6 	 18 	 301 	 69.67592592592592 MHZ
6 	 18 	 302 	 69.9074074074074 MHZ
6 	 18 	 303 	 70.13888888888889 MHZ
6 	 18 	 304 	 70.37037037037037 MHZ
6 	 18 	 305 	 70.60185185185185 MHZ
6 	 18 	 306 	 70.83333333333333 MHZ
6 	 18 	 307 	 71.06481481481482 MHZ
6 	 18 	 308 	 71.29629629629629 MHZ
6 	 18 	 309 	 71.52777777777779 MHZ
6 	 18 	 310 	 71.75925925925925 MHZ
6 	 18 	 311 	 71.99074074074075 MHZ
6 	 19 	 192 	 42.10526315789473 MHZ
6 	 19 	 193 	 42.324561403508774 MHZ
6 	 19 	 194 	 42.54385964912281 MHZ
6 	 19 	 195 	 42.76315789473684 MHZ
6 	 19 	 196 	 42.98245614035088 MHZ
6 	 19 	 197 	 43.20175438596491 MHZ
6 	 19 	 198 	 43.42105263157895 MHZ
6 	 19 	 199 	 43.640350877192986 MHZ
6 	 19 	 200 	 43.859649122807014 MHZ
6 	 19 	 201 	 44.07894736842105 MHZ
6 	 19 	 202 	 44.29824561403509 MHZ
6 	 19 	 203 	 44.51754385964912 MHZ
6 	 19 	 204 	 44.73684210526316 MHZ
6 	 19 	 205 	 44.9561403508772 MHZ
6 	 19 	 206 	 45.175438596491226 MHZ
6 	 19 	 207 	 45.39473684210526 MHZ
6 	 19 	 208 	 45.614035087719294 MHZ
6 	 19 	 209 	 45.833333333333336 MHZ
6 	 19 	 210 	 46.05263157894737 MHZ
6 	 19 	 211 	 46.271929824561404 MHZ
6 	 19 	 212 	 46.491228070175445 MHZ
6 	 19 	 213 	 46.71052631578947 MHZ
6 	 19 	 214 	 46.92982456140351 MHZ
6 	 19 	 215 	 47.14912280701754 MHZ
6 	 19 	 216 	 47.36842105263158 MHZ
6 	 19 	 217 	 47.58771929824562 MHZ
6 	 19 	 218 	 47.80701754385965 MHZ
6 	 19 	 219 	 48.02631578947368 MHZ
6 	 19 	 220 	 48.24561403508772 MHZ
6 	 19 	 221 	 48.46491228070175 MHZ
6 	 19 	 222 	 48.68421052631579 MHZ
6 	 19 	 223 	 48.90350877192983 MHZ
6 	 19 	 224 	 49.12280701754386 MHZ
6 	 19 	 225 	 49.34210526315789 MHZ
6 	 19 	 226 	 49.561403508771924 MHZ
6 	 19 	 227 	 49.780701754385966 MHZ
6 	 19 	 228 	 50.0 MHZ
6 	 19 	 229 	 50.219298245614034 MHZ
6 	 19 	 230 	 50.438596491228076 MHZ
6 	 19 	 231 	 50.65789473684211 MHZ
6 	 19 	 232 	 50.87719298245614 MHZ
6 	 19 	 233 	 51.09649122807017 MHZ
6 	 19 	 234 	 51.31578947368421 MHZ
6 	 19 	 235 	 51.53508771929825 MHZ
6 	 19 	 236 	 51.75438596491228 MHZ
6 	 19 	 237 	 51.97368421052632 MHZ
6 	 19 	 238 	 52.19298245614035 MHZ
6 	 19 	 239 	 52.41228070175438 MHZ
6 	 19 	 240 	 52.63157894736842 MHZ
6 	 19 	 241 	 52.85087719298246 MHZ
6 	 19 	 242 	 53.07017543859649 MHZ
6 	 19 	 243 	 53.28947368421053 MHZ
6 	 19 	 244 	 53.508771929824555 MHZ
6 	 19 	 245 	 53.728070175438596 MHZ
6 	 19 	 246 	 53.94736842105263 MHZ
6 	 19 	 247 	 54.166666666666664 MHZ
6 	 19 	 248 	 54.385964912280706 MHZ
6 	 19 	 249 	 54.60526315789474 MHZ
6 	 19 	 250 	 54.824561403508774 MHZ
6 	 19 	 251 	 55.0438596491228 MHZ
6 	 19 	 252 	 55.26315789473684 MHZ
6 	 19 	 253 	 55.48245614035088 MHZ
6 	 19 	 254 	 55.70175438596491 MHZ
6 	 19 	 255 	 55.92105263157895 MHZ
6 	 19 	 256 	 56.140350877192986 MHZ
6 	 19 	 257 	 56.359649122807014 MHZ
6 	 19 	 258 	 56.57894736842105 MHZ
6 	 19 	 259 	 56.79824561403509 MHZ
6 	 19 	 260 	 57.01754385964912 MHZ
6 	 19 	 261 	 57.23684210526316 MHZ
6 	 19 	 262 	 57.4561403508772 MHZ
6 	 19 	 263 	 57.675438596491226 MHZ
6 	 19 	 264 	 57.89473684210526 MHZ
6 	 19 	 265 	 58.114035087719294 MHZ
6 	 19 	 266 	 58.333333333333336 MHZ
6 	 19 	 267 	 58.55263157894737 MHZ
