Enter Input Clock in MHZ
Enable boundary check? (y/n)
P	M	N	CLK
4 	 12 	 202 	 67.33333333333333 MHZ
4 	 12 	 203 	 67.66666666666667 MHZ
4 	 12 	 204 	 68.0 MHZ
4 	 12 	 205 	 68.33333333333333 MHZ
4 	 12 	 206 	 68.66666666666667 MHZ
4 	 12 	 207 	 69.0 MHZ
4 	 12 	 208 	 69.33333333333333 MHZ
4 	 12 	 209 	 69.66666666666667 MHZ
4 	 12 	 210 	 70.0 MHZ
4 	 12 	 211 	 70.33333333333333 MHZ
4 	 12 	 212 	 70.66666666666667 MHZ
4 	 12 	 213 	 71.0 MHZ
4 	 12 	 214 	 71.33333333333333 MHZ
4 	 12 	 215 	 71.66666666666667 MHZ
4 	 12 	 216 	 72.0 MHZ
4 	 12 	 217 	 72.33333333333333 MHZ
4 	 12 	 218 	 72.66666666666667 MHZ
4 	 12 	 219 	 73.0 MHZ
4 	 12 	 220 	 73.33333333333333 MHZ
4 	 12 	 221 	 73.66666666666667 MHZ
4 	 12 	 222 	 74.0 MHZ
4 	 12 	 223 	 74.33333333333333 MHZ
4 	 12 	 224 	 74.66666666666667 MHZ
4 	 12 	 225 	 75.0 MHZ
4 	 12 	 226 	 75.33333333333333 MHZ
4 	 12 	 227 	 75.66666666666667 MHZ
4 	 12 	 228 	 76.0 MHZ
4 	 12 	 229 	 76.33333333333333 MHZ
4 	 12 	 230 	 76.66666666666667 MHZ
4 	 12 	 231 	 77.0 MHZ
4 	 12 	 232 	 77.33333333333333 MHZ
4 	 12 	 233 	 77.66666666666667 MHZ
4 	 12 	 234 	 78.0 MHZ
4 	 12 	 235 	 78.33333333333333 MHZ
4 	 12 	 236 	 78.66666666666667 MHZ
4 	 12 	 237 	 79.0 MHZ
4 	 12 	 238 	 79.33333333333333 MHZ
4 	 12 	 239 	 79.66666666666667 MHZ
4 	 12 	 240 	 80.0 MHZ
4 	 12 	 241 	 80.33333333333333 MHZ
4 	 12 	 242 	 80.66666666666667 MHZ
4 	 12 	 243 	 81.0 MHZ
4 	 12 	 244 	 81.33333333333333 MHZ
4 	 12 	 245 	 81.66666666666667 MHZ
4 	 12 	 246 	 82.0 MHZ
4 	 12 	 247 	 82.33333333333333 MHZ
4 	 12 	 248 	 82.66666666666667 MHZ
4 	 12 	 249 	 83.0 MHZ
4 	 12 	 250 	 83.33333333333333 MHZ
4 	 12 	 251 	 83.66666666666667 MHZ
4 	 12 	 252 	 84.0 MHZ
4 	 13 	 192 	 59.07692307692308 MHZ
4 	 13 	 193 	 59.38461538461539 MHZ
4 	 13 	 194 	 59.69230769230769 MHZ
4 	 13 	 195 	 60.0 MHZ
4 	 13 	 196 	 60.30769230769231 MHZ
4 	 13 	 197 	 60.61538461538461 MHZ
4 	 13 	 198 	 60.92307692307692 MHZ
4 	 13 	 199 	 61.23076923076923 MHZ
4 	 13 	 200 	 61.53846153846154 MHZ
4 	 13 	 201 	 61.84615384615385 MHZ
4 	 13 	 202 	 62.15384615384615 MHZ
4 	 13 	 203 	 62.46153846153846 MHZ
4 	 13 	 204 	 62.76923076923077 MHZ
4 	 13 	 205 	 63.07692307692308 MHZ
4 	 13 	 206 	 63.38461538461539 MHZ
4 	 13 	 207 	 63.69230769230769 MHZ
4 	 13 	 208 	 64.0 MHZ
4 	 13 	 209 	 64.3076923076923 MHZ
4 	 13 	 210 	 64.61538461538461 MHZ
4 	 13 	 211 	 64.92307692307692 MHZ
4 	 13 	 212 	 65.23076923076923 MHZ
4 	 13 	 213 	 65.53846153846153 MHZ
4 	 13 	 214 	 65.84615384615384 MHZ
4 	 13 	 215 	 66.15384615384616 MHZ
4 	 13 	 216 	 66.46153846153847 MHZ
4 	 13 	 217 	 66.76923076923077 MHZ
4 	 13 	 218 	 67.07692307692308 MHZ
4 	 13 	 219 	 67.38461538461539 MHZ
4 	 13 	 220 	 67.6923076923077 MHZ
4 	 13 	 221 	 68.0 MHZ
4 	 13 	 222 	 68.3076923076923 MHZ
4 	 13 	 223 	 68.61538461538461 MHZ
4 	 13 	 224 	 68.92307692307692 MHZ
4 	 13 	 225 	 69.23076923076923 MHZ
4 	 13 	 226 	 69.53846153846153 MHZ
4 	 13 	 227 	 69.84615384615384 MHZ
4 	 13 	 228 	 70.15384615384616 MHZ
4 	 13 	 229 	 70.46153846153847 MHZ
4 	 13 	 230 	 70.76923076923077 MHZ
4 	 13 	 231 	 71.07692307692308 MHZ
4 	 13 	 232 	 71.38461538461539 MHZ
4 	 13 	 233 	 71.6923076923077 MHZ
4 	 13 	 234 	 72.0 MHZ
4 	 13 	 235 	 72.3076923076923 MHZ
4 	 13 	 236 	 72.61538461538461 MHZ
4 	 13 	 237 	 72.92307692307692 MHZ
4 	 13 	 238 	 73.23076923076923 MHZ
4 	 13 	 239 	 73.53846153846153 MHZ
4 	 13 	 240 	 73.84615384615384 MHZ
4 	 13 	 241 	 74.15384615384616 MHZ
4 	 13 	 242 	 74.46153846153847 MHZ
4 	 13 	 243 	 74.76923076923077 MHZ
4 	 13 	 244 	 75.07692307692308 MHZ
4 	 13 	 245 	 75.38461538461539 MHZ
4 	 13 	 246 	 75.6923076923077 MHZ
4 	 13 	 247 	 76.0 MHZ
4 	 13 	 248 	 76.3076923076923 MHZ
4 	 13 	 249 	 76.61538461538461 MHZ
4 	 13 	 250 	 76.92307692307692 MHZ
4 	 13 	 251 	 77.23076923076923 MHZ
4 	 13 	 252 	 77.53846153846153 MHZ
4 	 13 	 253 	 77.84615384615384 MHZ
4 	 13 	 254 	 78.15384615384616 MHZ
4 	 13 	 255 	 78.46153846153847 MHZ
4 	 13 	 256 	 78.76923076923077 MHZ
4 	 13 	 257 	 79.07692307692308 MHZ
4 	 13 	 258 	 79.38461538461539 MHZ
4 	 13 	 259 	 79.6923076923077 MHZ
4 	 13 	 260 	 80.0 MHZ
4 	 13 	 261 	 80.3076923076923 MHZ
4 	 13 	 262 	 80.61538461538461 MHZ
4 	 13 	 263 	 80.92307692307692 MHZ
4 	 13 	 264 	 81.23076923076923 MHZ
4 	 13 	 265 	 81.53846153846153 MHZ
4 	 13 	 266 	 81.84615384615384 MHZ
4 	 13 	 267 	 82.15384615384616 MHZ
4 	 13 	 268 	 82.46153846153847 MHZ
4 	 13 	 269 	 82.76923076923077 MHZ
4 	 13 	 270 	 83.07692307692308 MHZ
4 	 13 	 271 	 83.38461538461539 MHZ
4 	 13 	 272 	 83.6923076923077 MHZ
4 	 13 	 273 	 84.0 MHZ
4 	 14 	 192 	 54.857142857142854 MHZ
4 	 14 	 193 	 55.142857142857146 MHZ
4 	 14 	 194 	 55.42857142857143 MHZ
4 	 14 	 195 	 55.714285714285715 MHZ
4 	 14 	 196 	 56.0 MHZ
4 	 14 	 197 	 56.285714285714285 MHZ
4 	 14 	 198 	 56.57142857142857 MHZ
4 	 14 	 199 	 56.857142857142854 MHZ
4 	 14 	 200 	 57.142857142857146 MHZ
4 	 14 	 201 	 57.42857142857143 MHZ
4 	 14 	 202 	 57.714285714285715 MHZ
4 	 14 	 203 	 58.0 MHZ
4 	 14 	 204 	 58.285714285714285 MHZ
4 	 14 	 205 	 58.57142857142857 MHZ
4 	 14 	 206 	 58.857142857142854 MHZ
4 	 14 	 207 	 59.142857142857146 MHZ
4 	 14 	 208 	 59.42857142857143 MHZ
4 	 14 	 209 	 59.714285714285715 MHZ
4 	 14 	 210 	 60.0 MHZ
4 	 14 	 211 	 60.285714285714285 MHZ
4 	 14 	 212 	 60.57142857142857 MHZ
4 	 14 	 213 	 60.857142857142854 MHZ
4 	 14 	 214 	 61.142857142857146 MHZ
4 	 14 	 215 	 61.42857142857143 MHZ
4 	 14 	 216 	 61.714285714285715 MHZ
4 	 14 	 217 	 62.0 MHZ
4 	 14 	 218 	 62.285714285714285 MHZ
4 	 14 	 219 	 62.57142857142857 MHZ
4 	 14 	 220 	 62.857142857142854 MHZ
4 	 14 	 221 	 63.142857142857146 MHZ
4 	 14 	 222 	 63.42857142857143 MHZ
4 	 14 	 223 	 63.714285714285715 MHZ
4 	 14 	 224 	 64.0 MHZ
4 	 14 	 225 	 64.28571428571429 MHZ
4 	 14 	 226 	 64.57142857142857 MHZ
4 	 14 	 227 	 64.85714285714286 MHZ
4 	 14 	 228 	 65.14285714285714 MHZ
4 	 14 	 229 	 65.42857142857143 MHZ
4 	 14 	 230 	 65.71428571428571 MHZ
4 	 14 	 231 	 66.0 MHZ
4 	 14 	 232 	 66.28571428571429 MHZ
4 	 14 	 233 	 66.57142857142857 MHZ
4 	 14 	 234 	 66.85714285714286 MHZ
4 	 14 	 235 	 67.14285714285714 MHZ
4 	 14 	 236 	 67.42857142857143 MHZ
4 	 14 	 237 	 67.71428571428571 MHZ
4 	 14 	 238 	 68.0 MHZ
4 	 14 	 239 	 68.28571428571429 MHZ
4 	 14 	 240 	 68.57142857142857 MHZ
4 	 14 	 241 	 68.85714285714286 MHZ
4 	 14 	 242 	 69.14285714285714 MHZ
4 	 14 	 243 	 69.42857142857143 MHZ
4 	 14 	 244 	 69.71428571428571 MHZ
4 	 14 	 245 	 70.0 MHZ
4 	 14 	 246 	 70.28571428571429 MHZ
4 	 14 	 247 	 70.57142857142857 MHZ
4 	 14 	 248 	 70.85714285714286 MHZ
4 	 14 	 249 	 71.14285714285714 MHZ
4 	 14 	 250 	 71.42857142857143 MHZ
4 	 14 	 251 	 71.71428571428571 MHZ
4 	 14 	 252 	 72.0 MHZ
4 	 14 	 253 	 72.28571428571429 MHZ
4 	 14 	 254 	 72.57142857142857 MHZ
4 	 14 	 255 	 72.85714285714286 MHZ
4 	 14 	 256 	 73.14285714285714 MHZ
4 	 14 	 257 	 73.42857142857143 MHZ
4 	 14 	 258 	 73.71428571428571 MHZ
4 	 14 	 259 	 74.0 MHZ
4 	 14 	 260 	 74.28571428571429 MHZ
4 	 14 	 261 	 74.57142857142857 MHZ
4 	 14 	 262 	 74.85714285714286 MHZ
4 	 14 	 263 	 75.14285714285714 MHZ
4 	 14 	 264 	 75.42857142857143 MHZ
4 	 14 	 265 	 75.71428571428571 MHZ
4 	 14 	 266 	 76.0 MHZ
4 	 14 	 267 	 76.28571428571429 MHZ
4 	 14 	 268 	 76.57142857142857 MHZ
4 	 14 	 269 	 76.85714285714286 MHZ
4 	 14 	 270 	 77.14285714285714 MHZ
4 	 14 	 271 	 77.42857142857143 MHZ
4 	 14 	 272 	 77.71428571428571 MHZ
4 	 14 	 273 	 78.0 MHZ
4 	 14 	 274 	 78.28571428571429 MHZ
4 	 14 	 275 	 78.57142857142857 MHZ
4 	 14 	 276 	 78.85714285714286 MHZ
4 	 14 	 277 	 79.14285714285714 MHZ
4 	 14 	 278 	 79.42857142857143 MHZ
4 	 14 	 279 	 79.71428571428571 MHZ
4 	 14 	 280 	 80.0 MHZ
4 	 14 	 281 	 80.28571428571429 MHZ
4 	 14 	 282 	 80.57142857142857 MHZ
4 	 14 	 283 	 80.85714285714286 MHZ
4 	 14 	 284 	 81.14285714285714 MHZ
4 	 14 	 285 	 81.42857142857143 MHZ
4 	 14 	 286 	 81.71428571428571 MHZ
4 	 14 	 287 	 82.0 MHZ
4 	 14 	 288 	 82.28571428571429 MHZ
4 	 14 	 289 	 82.57142857142857 MHZ
4 	 14 	 290 	 82.85714285714286 MHZ
4 	 14 	 291 	 83.14285714285714 MHZ
4 	 14 	 292 	 83.42857142857143 MHZ
4 	 14 	 293 	 83.71428571428571 MHZ
4 	 14 	 294 	 84.0 MHZ
4 	 15 	 192 	 51.2 MHZ
4 	 15 	 193 	 51.46666666666667 MHZ
4 	 15 	 194 	 51.733333333333334 MHZ
4 	 15 	 195 	 52.0 MHZ
4 	 15 	 196 	 52.266666666666666 MHZ
4 	 15 	 197 	 52.53333333333333 MHZ
4 	 15 	 198 	 52.8 MHZ
4 	 15 	 199 	 53.06666666666667 MHZ
4 	 15 	 200 	 53.333333333333336 MHZ
4 	 15 	 201 	 53.6 MHZ
4 	 15 	 202 	 53.86666666666667 MHZ
4 	 15 	 203 	 54.13333333333333 MHZ
4 	 15 	 204 	 54.4 MHZ
4 	 15 	 205 	 54.666666666666664 MHZ
4 	 15 	 206 	 54.93333333333333 MHZ
4 	 15 	 207 	 55.2 MHZ
4 	 15 	 208 	 55.46666666666667 MHZ
4 	 15 	 209 	 55.733333333333334 MHZ
4 	 15 	 210 	 56.0 MHZ
4 	 15 	 211 	 56.266666666666666 MHZ
4 	 15 	 212 	 56.53333333333333 MHZ
4 	 15 	 213 	 56.8 MHZ
4 	 15 	 214 	 57.06666666666667 MHZ
4 	 15 	 215 	 57.333333333333336 MHZ
4 	 15 	 216 	 57.6 MHZ
4 	 15 	 217 	 57.86666666666667 MHZ
4 	 15 	 218 	 58.13333333333333 MHZ
4 	 15 	 219 	 58.4 MHZ
4 	 15 	 220 	 58.666666666666664 MHZ
4 	 15 	 221 	 58.93333333333333 MHZ
4 	 15 	 222 	 59.2 MHZ
4 	 15 	 223 	 59.46666666666667 MHZ
4 	 15 	 224 	 59.733333333333334 MHZ
4 	 15 	 225 	 60.0 MHZ
4 	 15 	 226 	 60.266666666666666 MHZ
4 	 15 	 227 	 60.53333333333333 MHZ
4 	 15 	 228 	 60.8 MHZ
4 	 15 	 229 	 61.06666666666667 MHZ
4 	 15 	 230 	 61.333333333333336 MHZ
4 	 15 	 231 	 61.6 MHZ
4 	 15 	 232 	 61.86666666666667 MHZ
4 	 15 	 233 	 62.13333333333333 MHZ
4 	 15 	 234 	 62.4 MHZ
4 	 15 	 235 	 62.666666666666664 MHZ
4 	 15 	 236 	 62.93333333333333 MHZ
4 	 15 	 237 	 63.2 MHZ
4 	 15 	 238 	 63.46666666666667 MHZ
4 	 15 	 239 	 63.733333333333334 MHZ
4 	 15 	 240 	 64.0 MHZ
4 	 15 	 241 	 64.26666666666667 MHZ
4 	 15 	 242 	 64.53333333333333 MHZ
4 	 15 	 243 	 64.8 MHZ
4 	 15 	 244 	 65.06666666666666 MHZ
4 	 15 	 245 	 65.33333333333333 MHZ
4 	 15 	 246 	 65.6 MHZ
4 	 15 	 247 	 65.86666666666666 MHZ
4 	 15 	 248 	 66.13333333333334 MHZ
4 	 15 	 249 	 66.4 MHZ
4 	 15 	 250 	 66.66666666666667 MHZ
4 	 15 	 251 	 66.93333333333334 MHZ
4 	 15 	 252 	 67.2 MHZ
4 	 15 	 253 	 67.46666666666667 MHZ
4 	 15 	 254 	 67.73333333333333 MHZ
4 	 15 	 255 	 68.0 MHZ
4 	 15 	 256 	 68.26666666666667 MHZ
4 	 15 	 257 	 68.53333333333333 MHZ
4 	 15 	 258 	 68.8 MHZ
4 	 15 	 259 	 69.06666666666666 MHZ
4 	 15 	 260 	 69.33333333333333 MHZ
4 	 15 	 261 	 69.6 MHZ
4 	 15 	 262 	 69.86666666666666 MHZ
4 	 15 	 263 	 70.13333333333334 MHZ
4 	 15 	 264 	 70.4 MHZ
4 	 15 	 265 	 70.66666666666667 MHZ
4 	 15 	 266 	 70.93333333333334 MHZ
4 	 15 	 267 	 71.2 MHZ
4 	 15 	 268 	 71.46666666666667 MHZ
4 	 15 	 269 	 71.73333333333333 MHZ
4 	 15 	 270 	 72.0 MHZ
4 	 15 	 271 	 72.26666666666667 MHZ
4 	 15 	 272 	 72.53333333333333 MHZ
4 	 15 	 273 	 72.8 MHZ
4 	 15 	 274 	 73.06666666666666 MHZ
4 	 15 	 275 	 73.33333333333333 MHZ
4 	 15 	 276 	 73.6 MHZ
4 	 15 	 277 	 73.86666666666666 MHZ
4 	 15 	 278 	 74.13333333333334 MHZ
4 	 15 	 279 	 74.4 MHZ
4 	 15 	 280 	 74.66666666666667 MHZ
4 	 15 	 281 	 74.93333333333334 MHZ
4 	 15 	 282 	 75.2 MHZ
4 	 15 	 283 	 75.46666666666667 MHZ
4 	 15 	 284 	 75.73333333333333 MHZ
4 	 15 	 285 	 76.0 MHZ
4 	 15 	 286 	 76.26666666666667 MHZ
4 	 15 	 287 	 76.53333333333333 MHZ
4 	 15 	 288 	 76.8 MHZ
4 	 15 	 289 	 77.06666666666666 MHZ
4 	 15 	 290 	 77.33333333333333 MHZ
4 	 15 	 291 	 77.6 MHZ
4 	 15 	 292 	 77.86666666666666 MHZ
4 	 15 	 293 	 78.13333333333334 MHZ
4 	 15 	 294 	 78.4 MHZ
4 	 15 	 295 	 78.66666666666667 MHZ
4 	 15 	 296 	 78.93333333333334 MHZ
4 	 15 	 297 	 79.2 MHZ
4 	 15 	 298 	 79.46666666666667 MHZ
4 	 15 	 299 	 79.73333333333333 MHZ
4 	 15 	 300 	 80.0 MHZ
4 	 15 	 301 	 80.26666666666667 MHZ
4 	 15 	 302 	 80.53333333333333 MHZ
4 	 15 	 303 	 80.8 MHZ
4 	 15 	 304 	 81.06666666666666 MHZ
4 	 15 	 305 	 81.33333333333333 MHZ
4 	 15 	 306 	 81.6 MHZ
4 	 15 	 307 	 81.86666666666666 MHZ
4 	 15 	 308 	 82.13333333333334 MHZ
4 	 15 	 309 	 82.4 MHZ
4 	 15 	 310 	 82.66666666666667 MHZ
4 	 15 	 311 	 82.93333333333334 MHZ
4 	 15 	 312 	 83.2 MHZ
4 	 15 	 313 	 83.46666666666667 MHZ
4 	 15 	 314 	 83.73333333333333 MHZ
4 	 15 	 315 	 84.0 MHZ
4 	 16 	 192 	 48.0 MHZ
4 	 16 	 193 	 48.25 MHZ
4 	 16 	 194 	 48.5 MHZ
4 	 16 	 195 	 48.75 MHZ
4 	 16 	 196 	 49.0 MHZ
4 	 16 	 197 	 49.25 MHZ
4 	 16 	 198 	 49.5 MHZ
4 	 16 	 199 	 49.75 MHZ
4 	 16 	 200 	 50.0 MHZ
4 	 16 	 201 	 50.25 MHZ
4 	 16 	 202 	 50.5 MHZ
4 	 16 	 203 	 50.75 MHZ
4 	 16 	 204 	 51.0 MHZ
4 	 16 	 205 	 51.25 MHZ
4 	 16 	 206 	 51.5 MHZ
4 	 16 	 207 	 51.75 MHZ
4 	 16 	 208 	 52.0 MHZ
4 	 16 	 209 	 52.25 MHZ
4 	 16 	 210 	 52.5 MHZ
4 	 16 	 211 	 52.75 MHZ
4 	 16 	 212 	 53.0 MHZ
4 	 16 	 213 	 53.25 MHZ
4 	 16 	 214 	 53.5 MHZ
4 	 16 	 215 	 53.75 MHZ
4 	 16 	 216 	 54.0 MHZ
4 	 16 	 217 	 54.25 MHZ
4 	 16 	 218 	 54.5 MHZ
4 	 16 	 219 	 54.75 MHZ
4 	 16 	 220 	 55.0 MHZ
4 	 16 	 221 	 55.25 MHZ
4 	 16 	 222 	 55.5 MHZ
4 	 16 	 223 	 55.75 MHZ
4 	 16 	 224 	 56.0 MHZ
4 	 16 	 225 	 56.25 MHZ
4 	 16 	 226 	 56.5 MHZ
4 	 16 	 227 	 56.75 MHZ
4 	 16 	 228 	 57.0 MHZ
4 	 16 	 229 	 57.25 MHZ
4 	 16 	 230 	 57.5 MHZ
4 	 16 	 231 	 57.75 MHZ
4 	 16 	 232 	 58.0 MHZ
4 	 16 	 233 	 58.25 MHZ
4 	 16 	 234 	 58.5 MHZ
4 	 16 	 235 	 58.75 MHZ
4 	 16 	 236 	 59.0 MHZ
4 	 16 	 237 	 59.25 MHZ
4 	 16 	 238 	 59.5 MHZ
4 	 16 	 239 	 59.75 MHZ
4 	 16 	 240 	 60.0 MHZ
4 	 16 	 241 	 60.25 MHZ
4 	 16 	 242 	 60.5 MHZ
4 	 16 	 243 	 60.75 MHZ
4 	 16 	 244 	 61.0 MHZ
4 	 16 	 245 	 61.25 MHZ
4 	 16 	 246 	 61.5 MHZ
4 	 16 	 247 	 61.75 MHZ
4 	 16 	 248 	 62.0 MHZ
4 	 16 	 249 	 62.25 MHZ
4 	 16 	 250 	 62.5 MHZ
4 	 16 	 251 	 62.75 MHZ
4 	 16 	 252 	 63.0 MHZ
4 	 16 	 253 	 63.25 MHZ
4 	 16 	 254 	 63.5 MHZ
4 	 16 	 255 	 63.75 MHZ
4 	 16 	 256 	 64.0 MHZ
4 	 16 	 257 	 64.25 MHZ
4 	 16 	 258 	 64.5 MHZ
4 	 16 	 259 	 64.75 MHZ
4 	 16 	 260 	 65.0 MHZ
4 	 16 	 261 	 65.25 MHZ
4 	 16 	 262 	 65.5 MHZ
4 	 16 	 263 	 65.75 MHZ
4 	 16 	 264 	 66.0 MHZ
4 	 16 	 265 	 66.25 MHZ
4 	 16 	 266 	 66.5 MHZ
4 	 16 	 267 	 66.75 MHZ
4 	 16 	 268 	 67.0 MHZ
4 	 16 	 269 	 67.25 MHZ
4 	 16 	 270 	 67.5 MHZ
4 	 16 	 271 	 67.75 MHZ
4 	 16 	 272 	 68.0 MHZ
4 	 16 	 273 	 68.25 MHZ
4 	 16 	 274 	 68.5 MHZ
4 	 16 	 275 	 68.75 MHZ
4 	 16 	 276 	 69.0 MHZ
4 	 16 	 277 	 69.25 MHZ
4 	 16 	 278 	 69.5 MHZ
4 	 16 	 279 	 69.75 MHZ
4 	 16 	 280 	 70.0 MHZ
4 	 16 	 281 	 70.25 MHZ
4 	 16 	 282 	 70.5 MHZ
4 	 16 	 283 	 70.75 MHZ
4 	 16 	 284 	 71.0 MHZ
4 	 16 	 285 	 71.25 MHZ
4 	 16 	 286 	 71.5 MHZ
4 	 16 	 287 	 71.75 MHZ
4 	 16 	 288 	 72.0 MHZ
4 	 16 	 289 	 72.25 MHZ
4 	 16 	 290 	 72.5 MHZ
4 	 16 	 291 	 72.75 MHZ
4 	 16 	 292 	 73.0 MHZ
4 	 16 	 293 	 73.25 MHZ
4 	 16 	 294 	 73.5 MHZ
4 	 16 	 295 	 73.75 MHZ
4 	 16 	 296 	 74.0 MHZ
4 	 16 	 297 	 74.25 MHZ
4 	 16 	 298 	 74.5 MHZ
4 	 16 	 299 	 74.75 MHZ
4 	 16 	 300 	 75.0 MHZ
4 	 16 	 301 	 75.25 MHZ
4 	 16 	 302 	 75.5 MHZ
4 	 16 	 303 	 75.75 MHZ
4 	 16 	 304 	 76.0 MHZ
4 	 16 	 305 	 76.25 MHZ
4 	 16 	 306 	 76.5 MHZ
4 	 16 	 307 	 76.75 MHZ
4 	 16 	 308 	 77.0 MHZ
4 	 16 	 309 	 77.25 MHZ
4 	 16 	 310 	 77.5 MHZ
4 	 16 	 311 	 77.75 MHZ
4 	 16 	 312 	 78.0 MHZ
4 	 16 	 313 	 78.25 MHZ
4 	 16 	 314 	 78.5 MHZ
4 	 16 	 315 	 78.75 MHZ
4 	 16 	 316 	 79.0 MHZ
4 	 16 	 317 	 79.25 MHZ
4 	 16 	 318 	 79.5 MHZ
4 	 16 	 319 	 79.75 MHZ
4 	 16 	 320 	 80.0 MHZ
4 	 16 	 321 	 80.25 MHZ
4 	 16 	 322 	 80.5 MHZ
4 	 16 	 323 	 80.75 MHZ
4 	 16 	 324 	 81.0 MHZ
4 	 16 	 325 	 81.25 MHZ
4 	 16 	 326 	 81.5 MHZ
4 	 16 	 327 	 81.75 MHZ
4 	 16 	 328 	 82.0 MHZ
4 	 16 	 329 	 82.25 MHZ
4 	 16 	 330 	 82.5 MHZ
4 	 16 	 331 	 82.75 MHZ
4 	 16 	 332 	 83.0 MHZ
4 	 16 	 333 	 83.25 MHZ
4 	 16 	 334 	 83.5 MHZ
4 	 16 	 335 	 83.75 MHZ
4 	 16 	 336 	 84.0 MHZ
6 	 8 	 192 	 64.0 MHZ
6 	 8 	 193 	 64.33333333333333 MHZ
6 	 8 	 194 	 64.66666666666667 MHZ
6 	 8 	 195 	 65.0 MHZ
6 	 8 	 196 	 65.33333333333333 MHZ
6 	 8 	 197 	 65.66666666666667 MHZ
6 	 8 	 198 	 66.0 MHZ
6 	 8 	 199 	 66.33333333333333 MHZ
6 	 8 	 200 	 66.66666666666667 MHZ
6 	 8 	 201 	 67.0 MHZ
6 	 8 	 202 	 67.33333333333333 MHZ
6 	 8 	 203 	 67.66666666666667 MHZ
6 	 8 	 204 	 68.0 MHZ
6 	 8 	 205 	 68.33333333333333 MHZ
6 	 8 	 206 	 68.66666666666667 MHZ
6 	 8 	 207 	 69.0 MHZ
6 	 8 	 208 	 69.33333333333333 MHZ
6 	 8 	 209 	 69.66666666666667 MHZ
6 	 8 	 210 	 70.0 MHZ
6 	 8 	 211 	 70.33333333333333 MHZ
6 	 8 	 212 	 70.66666666666667 MHZ
6 	 8 	 213 	 71.0 MHZ
6 	 8 	 214 	 71.33333333333333 MHZ
6 	 8 	 215 	 71.66666666666667 MHZ
