Enter Input Clock in MHZ
Enable boundary check? (y/n)
P	M	N	CLK
4 	 10 	 192 	 76.8 MHZ
4 	 10 	 193 	 77.2 MHZ
4 	 10 	 194 	 77.6 MHZ
4 	 10 	 195 	 78.0 MHZ
4 	 10 	 196 	 78.4 MHZ
4 	 10 	 197 	 78.8 MHZ
4 	 10 	 198 	 79.2 MHZ
4 	 10 	 199 	 79.6 MHZ
4 	 10 	 200 	 80.0 MHZ
4 	 10 	 201 	 80.4 MHZ
4 	 10 	 202 	 80.8 MHZ
4 	 10 	 203 	 81.2 MHZ
4 	 10 	 204 	 81.6 MHZ
4 	 10 	 205 	 82.0 MHZ
4 	 10 	 206 	 82.4 MHZ
4 	 10 	 207 	 82.8 MHZ
4 	 10 	 208 	 83.2 MHZ
4 	 10 	 209 	 83.6 MHZ
4 	 10 	 210 	 84.0 MHZ
4 	 11 	 192 	 69.81818181818181 MHZ
4 	 11 	 193 	 70.18181818181819 MHZ
4 	 11 	 194 	 70.54545454545455 MHZ
4 	 11 	 195 	 70.9090909090909 MHZ
4 	 11 	 196 	 71.27272727272727 MHZ
4 	 11 	 197 	 71.63636363636364 MHZ
4 	 11 	 198 	 72.0 MHZ
4 	 11 	 199 	 72.36363636363636 MHZ
4 	 11 	 200 	 72.72727272727273 MHZ
4 	 11 	 201 	 73.0909090909091 MHZ
4 	 11 	 202 	 73.45454545454545 MHZ
4 	 11 	 203 	 73.81818181818181 MHZ
4 	 11 	 204 	 74.18181818181819 MHZ
4 	 11 	 205 	 74.54545454545455 MHZ
4 	 11 	 206 	 74.9090909090909 MHZ
4 	 11 	 207 	 75.27272727272727 MHZ
4 	 11 	 208 	 75.63636363636364 MHZ
4 	 11 	 209 	 76.0 MHZ
4 	 11 	 210 	 76.36363636363636 MHZ
4 	 11 	 211 	 76.72727272727273 MHZ
4 	 11 	 212 	 77.0909090909091 MHZ
4 	 11 	 213 	 77.45454545454545 MHZ
4 	 11 	 214 	 77.81818181818181 MHZ
4 	 11 	 215 	 78.18181818181819 MHZ
4 	 11 	 216 	 78.54545454545455 MHZ
4 	 11 	 217 	 78.9090909090909 MHZ
4 	 11 	 218 	 79.27272727272727 MHZ
4 	 11 	 219 	 79.63636363636364 MHZ
4 	 11 	 220 	 80.0 MHZ
4 	 11 	 221 	 80.36363636363636 MHZ
4 	 11 	 222 	 80.72727272727273 MHZ
4 	 11 	 223 	 81.0909090909091 MHZ
4 	 11 	 224 	 81.45454545454545 MHZ
4 	 11 	 225 	 81.81818181818181 MHZ
4 	 11 	 226 	 82.18181818181819 MHZ
4 	 11 	 227 	 82.54545454545455 MHZ
4 	 11 	 228 	 82.9090909090909 MHZ
4 	 11 	 229 	 83.27272727272727 MHZ
4 	 11 	 230 	 83.63636363636364 MHZ
4 	 11 	 231 	 84.0 MHZ
4 	 12 	 192 	 64.0 MHZ
4 	 12 	 193 	 64.33333333333333 MHZ
4 	 12 	 194 	 64.66666666666667 MHZ
4 	 12 	 195 	 65.0 MHZ
4 	 12 	 196 	 65.33333333333333 MHZ
4 	 12 	 197 	 65.66666666666667 MHZ
4 	 12 	 198 	 66.0 MHZ
4 	 12 	 199 	 66.33333333333333 MHZ
4 	 12 	 200 	 66.66666666666667 MHZ
4 	 12 	 201 	 67.0 MHZ
